Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,0,20.510,20.564,0,14.309,1.722,3.542,7.939,18.934,1.000
1,1,20.522,20.549,0,15.169,1.757,3.664,8.306,19.987,1.000
1,2,20.498,20.584,0,15.162,1.762,3.682,8.362,20.155,1.000
1,3,20.300,20.613,0,15.158,1.815,3.870,8.931,21.809,1.000
1,4,20.372,20.620,0,14.845,1.769,3.708,8.445,20.408,1.000
1,5,20.387,20.575,0,15.465,1.810,3.850,8.867,21.609,1.000
1,6,20.479,20.540,0,15.721,1.807,3.840,8.837,21.521,1.000
1,7,20.424,20.543,0,15.807,1.811,3.853,8.873,21.618,1.000
1,8,20.581,20.562,0,15.721,1.802,3.822,8.785,21.375,1.000
1,9,20.496,20.586,0,15.322,1.785,3.763,8.607,20.865,1.000
1,10,20.560,20.543,0,14.410,1.727,3.560,7.997,19.107,1.000
1,11,20.504,20.561,0,14.706,1.736,3.592,8.097,19.405,1.000
1,12,20.552,20.594,0,15.095,1.755,3.657,8.287,19.937,1.000
1,13,20.576,20.642,0,14.742,1.749,3.639,8.236,19.802,1.000
1,14,20.534,20.698,0,14.768,1.751,3.643,8.246,19.823,1.000
1,15,20.541,20.639,0,14.844,1.754,3.655,8.288,19.959,1.000
1,16,20.529,20.641,0,14.987,1.765,3.693,8.397,20.264,1.000
1,17,20.544,20.604,0,15.085,1.764,3.688,8.381,20.213,1.000
1,18,20.540,20.612,0,14.131,1.715,3.518,7.869,18.741,1.000
1,19,19.644,19.924,0,13.701,1.799,3.825,8.822,21.555,1.000
1,20,20.425,20.602,0,14.710,1.747,3.631,8.212,19.733,1.000
1,21,19.680,20.679,0,14.691,1.862,4.040,9.456,23.346,1.000
1,22,20.503,20.616,0,15.090,1.776,3.732,8.516,20.607,1.000
1,23,20.541,20.717,0,15.013,1.770,3.712,8.455,20.430,1.000
1,24,20.476,20.647,0,15.404,1.790,3.782,8.664,21.026,1.000
1,25,20.530,20.688,0,15.223,1.785,3.765,8.617,20.899,1.000
1,26,20.509,20.723,0,15.087,1.774,3.726,8.501,20.572,1.000
1,27,20.527,20.693,0,15.190,1.788,3.774,8.640,20.960,1.000
1,28,20.512,20.715,0,15.109,1.792,3.790,8.691,21.115,1.000
1,29,20.512,20.696,0,15.333,1.799,3.816,8.769,21.340,1.000
1,30,20.487,20.687,0,15.206,1.794,3.794,8.701,21.136,1.000
1,31,20.466,20.597,0,15.818,1.828,3.913,9.056,22.147,1.000
1,32,19.652,20.698,0,14.286,1.872,4.076,9.567,23.674,1.000
1,33,20.453,20.694,0,15.013,1.861,4.034,9.434,23.271,1.000
1,34,19.711,20.658,0,14.762,1.853,4.008,9.362,23.083,1.000
1,35,20.396,20.680,0,15.418,1.838,3.949,9.161,22.451,1.000
1,36,19.718,19.984,0,13.093,1.789,3.797,8.758,21.426,1.000
1,37,19.715,19.978,0,13.050,1.791,3.804,8.780,21.491,1.000
1,38,19.726,20.001,0,12.904,1.794,3.815,8.818,21.612,1.000
1,39,19.768,19.993,0,13.147,1.783,3.775,8.689,21.220,1.000
1,40,19.761,19.994,0,12.840,1.781,3.770,8.684,21.234,1.000
1,41,19.735,19.996,0,13.106,1.780,3.765,8.663,21.158,1.000
1,42,19.711,19.998,0,12.815,1.783,3.780,8.712,21.314,1.000
1,43,20.332,20.078,0,13.258,1.802,3.844,8.907,21.870,1.000
1,44,19.729,20.034,0,12.776,1.786,3.791,8.748,21.420,1.000
1,45,19.771,20.043,0,12.565,1.783,3.782,8.726,21.370,1.000
1,46,19.722,20.054,0,12.660,1.787,3.792,8.751,21.433,1.000
1,47,19.738,20.008,0,13.087,1.791,3.806,8.791,21.533,1.000
1,48,19.724,19.987,0,13.123,1.793,3.810,8.801,21.559,1.000
1,49,19.723,20.091,0,12.544,1.784,3.785,8.736,21.399,1.000
1,50,19.643,20.075,0,12.593,1.784,3.784,8.728,21.367,1.000
1,51,20.261,20.712,0,14.685,1.839,3.960,9.214,22.649,1.000
1,52,19.706,20.058,0,12.943,1.782,3.775,8.697,21.268,1.000
1,53,20.318,20.685,0,15.288,1.848,3.986,9.282,22.814,1.000
1,54,19.759,20.003,0,13.058,1.786,3.786,8.725,21.334,1.000
1,55,19.791,19.965,0,13.204,1.784,3.781,8.709,21.288,1.000
1,56,19.662,20.008,0,13.058,1.790,3.803,8.781,21.507,1.000
1,57,19.606,20.010,0,12.932,1.797,3.827,8.849,21.693,1.000
1,58,19.780,20.024,0,12.992,1.781,3.769,8.676,21.200,1.000
1,59,19.652,20.035,0,12.651,1.783,3.777,8.698,21.254,1.000
1,60,19.687,20.018,0,12.882,1.799,3.834,8.869,21.750,1.000
1,61,19.725,19.979,0,12.933,1.785,3.783,8.717,21.306,1.000
1,62,19.652,19.993,0,13.034,1.794,3.816,8.821,21.622,1.000
1,63,19.786,20.709,0,14.577,1.824,3.911,9.077,22.283,1.000
1,64,19.735,20.688,0,14.627,1.841,3.965,9.230,22.697,1.000
1,65,20.325,20.775,0,14.581,1.804,3.833,8.823,21.505,1.000
1,66,20.390,20.741,0,14.885,1.803,3.829,8.810,21.458,1.000
1,67,20.329,20.769,0,14.634,1.821,3.894,9.012,22.057,1.000
1,68,20.267,20.692,0,14.921,1.837,3.950,9.177,22.526,1.000
1,69,19.685,20.746,0,14.536,1.829,3.925,9.113,22.364,1.000
1,70,20.249,20.748,0,14.414,1.828,3.918,9.086,22.271,1.000
1,71,20.297,20.727,0,14.809,1.819,3.884,8.977,21.945,1.000
1,72,19.675,20.668,0,14.895,1.858,4.024,9.405,23.197,1.000
1,73,20.350,20.723,0,14.999,1.829,3.920,9.086,22.266,1.000
1,74,20.356,20.652,0,15.383,1.850,3.992,9.299,22.865,1.000
1,75,20.282,20.722,0,14.547,1.814,3.868,8.931,21.817,1.000
1,76,20.353,20.661,0,15.256,1.845,3.975,9.251,22.738,1.000
1,77,20.410,20.688,0,15.224,1.833,3.934,9.126,22.373,1.000
1,78,20.211,20.751,0,14.066,1.839,3.960,9.220,22.681,1.000
1,79,20.304,20.790,0,14.424,1.809,3.854,8.893,21.720,1.000
1,80,20.244,20.792,0,14.020,1.823,3.904,9.048,22.174,1.000
1,81,20.255,20.814,0,13.663,1.812,3.868,8.946,21.897,0.534
1,82,19.696,20.701,0,14.311,1.852,4.006,9.358,23.078,1.000
1,83,19.755,20.688,0,14.447,1.872,4.077,9.575,23.715,0.500
1,84,19.690,20.087,0,12.505,1.780,3.768,8.684,21.249,1.000
1,85,19.765,20.670,0,14.839,1.865,4.049,9.483,23.433,1.000
1,86,19.762,20.691,0,14.555,1.861,4.040,9.463,23.387,1.000
1,87,19.694,20.682,0,14.137,1.850,4.002,9.347,23.051,1.000
1,88,20.312,20.706,0,15.019,1.835,3.942,9.152,22.452,1.000
1,89,20.231,20.730,0,14.650,1.815,3.872,8.940,21.836,1.000
1,90,20.407,20.871,0,13.939,1.810,3.861,8.924,21.834,1.000
1,91,19.648,20.058,0,12.826,1.791,3.806,8.788,21.519,1.000
1,92,19.663,19.903,0,13.137,1.795,3.817,8.809,21.552,1.000
1,93,19.658,19.901,0,13.185,1.799,3.833,8.864,21.724,1.000
1,94,19.802,19.893,0,13.833,1.770,3.719,8.497,20.607,1.000
1,95,19.688,19.938,0,13.302,1.801,3.836,8.871,21.740,1.000
1,96,19.632,19.764,0,14.238,1.842,3.970,9.248,22.751,1.000
