Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
0,24.652,23.384,0,0.068,1.624,3.321,7.555,18.539,0.996
0,19.392,30.395,0,0.061,1.639,3.331,7.520,18.310,0.996
1,12.940,23.372,0,0.060,1.740,3.733,8.788,22.049,0.333
1,24.551,23.395,0,0.071,1.601,3.252,7.375,18.085,0.558
1,18.540,30.358,0,0.063,1.641,3.340,7.551,18.409,0.558
2,24.462,22.520,0,0.070,1.620,3.303,7.507,18.411,0.349
2,13.263,23.282,0,0.054,1.686,3.551,8.278,20.703,0.432
2,20.442,30.051,0,0.059,1.742,3.717,8.682,21.599,0.417
3,21.464,17.491,0,0.068,1.723,3.592,8.206,19.995,0.423
3,13.592,23.461,0,0.059,1.665,3.430,7.834,19.263,0.467
3,20.375,30.388,0,0.071,1.611,3.229,7.202,17.362,0.378
4,24.435,23.490,0,0.074,1.583,3.183,7.159,17.445,0.551
4,19.391,30.459,0,0.062,1.653,3.396,7.743,19.013,0.551
5,24.569,22.469,0,0.072,1.617,3.293,7.471,18.303,0.371
5,13.203,23.312,0,0.060,1.675,3.510,8.152,20.327,0.640
5,20.459,29.926,0,0.063,1.698,3.572,8.275,20.513,0.615
6,24.659,22.502,0,0.071,1.624,3.314,7.515,18.369,0.539
6,19.425,29.915,0,0.066,1.684,3.540,8.227,20.505,0.539
7,24.737,23.367,0,0.072,1.632,3.355,7.655,18.806,1.000
8,24.496,22.530,0,0.072,1.607,3.263,7.394,18.110,0.461
8,13.144,23.354,0,0.063,1.688,3.557,8.287,20.697,0.440
8,19.454,30.337,0,0.065,1.658,3.404,7.751,19.006,0.559
9,24.488,22.491,0,0.073,1.632,3.349,7.645,18.813,0.648
9,13.133,23.388,0,0.059,1.701,3.612,8.468,21.259,0.373
9,19.494,30.248,0,0.065,1.656,3.391,7.700,18.827,0.667
10,13.154,22.317,0,0.062,1.705,3.583,8.289,20.528,0.382
10,24.666,23.403,0,0.069,1.620,3.312,7.538,18.511,0.611
10,19.426,30.357,0,0.064,1.649,3.377,7.675,18.796,0.642
11,13.158,23.344,0,0.057,1.697,3.610,8.489,21.386,0.348
11,24.651,23.370,0,0.070,1.609,3.279,7.445,18.247,0.580
11,18.537,30.391,0,0.064,1.646,3.358,7.596,18.518,0.592
12,24.635,22.458,0,0.072,1.646,3.389,7.745,19.048,1.000
13,24.537,23.373,0,0.071,1.610,3.280,7.451,18.281,0.500
13,19.444,30.010,0,0.066,1.744,3.726,8.726,21.780,0.500
14,13.280,22.427,0,0.063,1.677,3.487,8.015,19.774,0.666
14,24.412,22.530,0,0.069,1.628,3.339,7.624,18.774,0.666
15,13.480,22.355,0,0.058,1.633,3.324,7.513,18.305,0.993
15,24.695,22.527,0,0.073,1.631,3.329,7.542,18.400,0.993
16,24.664,22.465,0,0.072,1.634,3.347,7.608,18.606,1.000
17,25.389,24.448,0,0.072,1.640,3.376,7.729,19.068,0.991
17,19.442,30.353,0,0.063,1.645,3.360,7.621,18.642,0.991
18,24.567,22.506,0,0.072,1.625,3.318,7.544,18.499,1.000
19,13.707,19.488,0,0.106,1.765,3.716,8.531,20.841,0.500
19,24.581,22.566,0,0.072,1.595,3.216,7.247,17.681,0.500
20,25.210,23.511,0,0.069,1.650,3.403,7.795,19.215,1.000
